사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
2021-12-01,2호선,14,을지로4가,3,0,856,"1,179","1,410","12,312","3,414","30,088","6,714","80,240","7,053","41,214","8,555","22,982","12,910","19,992","14,894","17,885","16,658","18,144","20,307","16,840","24,568","15,355","29,208","13,242","51,935","11,445","66,524","10,764","28,240","6,135","15,167","3,732","13,907","3,999","7,448","2,570","2,658","1,403",1,141,0,0,0,0,0,0,2022-01-03 10:00
2021-12-01,2호선,15,동대문역사문화공원(DDP),398,4,"6,049","1,096","4,398","7,372","6,625","19,474","9,714","49,530","9,334","29,772","9,950","23,852","13,615","24,013","16,373","24,650","17,117","24,597","20,250","25,316","27,188","22,233","32,861","20,369","39,822","20,770","41,068","23,941","24,308","21,929","18,866","13,251","21,118","12,256","12,397","8,121","3,876","5,535",1,543,0,0,0,0,0,0,2022-01-03 10:00
2021-12-01,2호선,16,신당,50,6,"5,777","1,059","10,572","7,860","24,787","15,799","42,692","32,681","24,427","21,898","17,133","17,344","16,664","18,604","18,930","19,662","20,161","20,398","20,578","20,559","22,150","21,724","24,949","26,372","30,257","33,480","31,783","45,583","19,732","28,350","15,742","17,407","14,569","20,569","9,448","13,669","3,346","7,645",1,99,0,0,0,0,0,0,2022-01-03 10:00
2021-12-01,2호선,17,상왕십리,74,1,"4,768",455,"11,465","5,102","36,116","10,759","59,758","33,937","33,790","19,015","20,078","13,604","18,039","12,223","19,788","14,535","18,682","16,033","17,945","16,677","19,198","18,819","21,046","23,586","25,814","32,999","27,846","50,374","16,812","32,698","11,962","20,995","11,239","24,370","6,378","16,537","1,813","9,182",0,13,0,0,0,0,0,0,2022-01-03 10:00
2021-12-01,2호선,18,왕십리(성동구청),800,0,"6,879","1,058","9,366","5,607","23,246","11,977","44,087","26,930","28,615","18,562","18,494","14,538","19,336","15,402","21,254","17,574","22,447","18,944","22,911","19,261","24,730","21,246","29,383","25,275","35,367","33,927","37,119","53,347","21,881","31,120","23,553","18,539","29,243","20,952","18,905","14,388","7,695","9,061",13,136,0,1,0,0,0,0,2022-01-03 10:00
2021-12-01,2호선,19,한양대,5,0,832,226,"2,027","5,057","4,738","10,183","7,766","33,907","5,770","31,045","6,337","20,030","8,541","11,765","9,801","15,337","10,745","15,074","12,001","12,942","14,426","9,157","19,760","8,303","30,787","9,377","26,707","9,993","12,568","5,984","9,169","4,557","9,191","5,440","7,477","3,786","3,334","2,284",2,21,0,0,0,0,0,0,2022-01-03 10:00
2021-12-01,2호선,20,뚝섬,15,5,"3,380","1,894","7,162","14,252","17,021","34,962","25,515","132,851","16,805","87,525","14,165","38,880","14,933","25,929","19,112","26,849","21,335","31,770","26,094","26,208","32,105","27,667","40,193","27,690","64,281","32,706","117,839","42,209","58,084","23,391","40,074","12,775","38,661","13,101","18,231","9,094","4,923","5,227",14,154,0,0,0,0,0,0,2022-01-03 10:00
2021-12-01,2호선,21,성수,74,0,"5,086","3,472","8,652","28,558","21,359","73,793","29,745","269,876","21,664","149,295","19,933","53,304","21,451","40,511","26,736","43,312","32,395","46,198","38,115","44,409","46,523","44,211","62,158","45,022","113,812","49,169","230,217","57,095","97,672","31,784","67,562","15,977","67,657","15,933","32,691","11,519","9,118","8,783",24,"3,220",0,0,0,0,0,0,2022-01-03 10:00
2021-12-01,2호선,22,건대입구,208,8,"13,413","1,997","19,761","19,680","48,833","24,337","89,277","61,083","58,544","46,694","33,136","37,605","32,855","41,779","37,892","50,928","41,943","56,862","44,426","57,169","52,162","64,607","61,727","75,418","73,714","100,823","82,823","141,810","59,025","90,549","69,652","51,651","85,718","57,903","46,950","39,338","19,029","21,145",59,"3,023",0,0,0,0,0,0,2022-01-03 10:00
2021-12-01,2호선,23,구의(광진구청),52,0,"12,341","1,161","23,739","9,903","62,735","14,968","111,467","40,308","63,806","23,375","33,276","18,474","28,397","18,897","28,816","22,035","28,669","24,998","26,997","26,302","27,600","35,115","32,588","39,618","36,629","54,471","42,177","92,023","21,407","64,471","16,984","40,723","17,925","46,938","12,388","32,950","5,113","15,740",14,"1,385",0,2,0,0,0,0,2022-01-03 10:00
