사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
2021-12-01,경부선,250,구로,"9,664",22,"22,090","4,577","18,656","12,268","36,351","30,032","35,823","78,559","25,598","40,592","18,328","24,877","19,019","20,458","20,830","21,511","22,122","22,658","23,424","22,359","27,118","24,651","31,912","27,542","51,031","37,449","63,458","43,215","24,983","29,020","19,506","18,575","19,399","20,089","10,596","15,397","2,866","13,244",18,"6,502",0,0,0,0,0,0,2022-01-03 10:00
2021-12-01,경부선,251,가산디지털단지,"1,414",9,"8,073","2,462","7,472","10,332","14,026","52,349","14,493","157,724","10,533","75,089","9,403","22,735","10,466","16,032","12,872","15,219","14,411","15,975","15,594","15,215","17,652","14,768","26,444","17,721","65,511","24,574","110,606","26,740","42,669","19,472","26,277","11,485","23,666","13,112","11,430","9,750","3,159","4,089",63,906,0,0,0,0,0,0,2022-01-03 10:00
2021-12-01,경부선,252,금천구청,462,4,"11,638","1,426","17,948","5,086","45,097","14,723","42,936","30,451","22,995","11,685","15,908","8,834","14,810","9,436","14,859","11,436","14,523","13,566","13,372","12,088","13,966","17,164","14,896","20,090","17,920","28,009","25,190","44,137","11,443","33,746","7,897","16,546","7,402","18,249","3,983","13,006","1,016","5,481",14,487,0,0,0,0,0,0,2022-01-03 10:00
2021-12-01,경부선,253,석수,364,3,"7,771","2,675","15,065","6,459","36,990","11,803","37,523","16,517","19,345","9,815","12,908","8,431","11,446","6,510","11,524","7,237","11,256","8,067","10,793","8,210","12,112","10,529","14,151","12,717","17,921","19,661","17,123","31,560","9,170","24,683","5,892","14,106","4,946","16,341","3,021","11,873",817,"4,609",16,319,0,0,0,0,0,0,2022-01-03 10:00
2021-12-01,경부선,254,관악,129,3,"7,022","1,730","11,957","3,766","31,309","5,209","30,549","9,132","14,394","7,949","9,800","7,763","8,757","6,082","9,601","7,025","9,308","6,918","9,147","7,396","9,429","8,452","10,400","10,384","11,089","16,000","9,472","27,611","5,126","19,617","3,984","11,720","3,805","12,521","1,801","9,334",569,"4,020",13,313,0,0,0,0,0,0,2022-01-03 10:00
2021-12-01,경부선,255,안양,269,7,"13,506","2,624","29,210","9,668","79,590","17,260","71,744","35,147","38,050","34,092","27,371","26,527","28,393","26,903","32,962","29,200","31,296","34,818","31,795","29,973","34,592","34,373","40,176","39,179","41,501","52,393","35,323","82,148","21,563","60,882","21,129","33,631","23,691","32,473","14,035","23,255","4,178","12,340",29,805,0,0,0,0,0,0,2022-01-03 10:00
2021-12-01,경부선,256,명학,141,3,"6,563","1,720","10,378","6,595","25,621","25,240","22,658","52,261","10,680","13,179","7,903","7,445","8,351","5,986","9,298","6,928","8,631","7,845","8,432","6,830","9,295","7,098","12,399","8,742","24,405","11,714","36,432","20,423","11,003","17,322","10,713","9,301","6,926","9,503","3,856","7,871","1,092","4,610",5,146,0,0,0,0,0,0,2022-01-03 10:00
2021-12-01,경부선,257,금정,231,5,"20,699","6,358","33,687","24,301","78,688","40,901","83,719","91,306","46,417","30,784","30,947","19,455","28,650","20,989","30,933","22,157","29,734","25,512","27,435","25,544","29,558","32,775","38,766","39,817","59,429","56,634","72,918","83,507","30,700","66,236","24,758","37,599","23,083","44,444","13,241","31,826","4,573","19,345",39,"1,867",0,0,0,0,0,0,2022-01-03 10:00
2021-12-01,경부선,258,군포,39,1,"5,018","2,168","8,947","8,333","19,129","31,628","17,549","47,729","8,950","7,785","6,890","4,491","6,437","4,541","7,187","4,861","7,103","5,783","6,655","5,257","6,975","6,371","9,824","7,556","22,958","10,117","35,618","15,970","11,675","11,996","9,815","7,847","6,244","7,009","3,021","5,902",747,"2,761",9,100,0,0,0,0,0,0,2022-01-03 10:00
2021-12-01,경부선,259,의왕,74,2,"5,919","2,145","12,352","8,360","30,132","25,515","28,680","29,500","12,865","8,873","9,875","5,967","9,582","6,165","10,555","7,417","10,096","8,656","9,708","8,286","10,094","9,313","14,621","13,005","23,329","17,058","23,609","28,825","10,054","19,225","7,936","13,937","7,115","12,552","3,487","9,855","1,126","5,429",10,187,0,0,0,0,0,0,2022-01-03 10:00
2021-12-01,경부선,260,성균관대,55,0,"7,415","1,754","24,687","5,328","63,432","8,533","51,429","20,080","23,427","13,636","17,382","10,523","16,787","11,348","18,403","13,026","17,361","15,313","16,050","14,367","16,581","17,530","20,268","22,146","22,793","34,759","22,125","55,521","12,149","44,990","10,399","28,572","10,668","27,091","7,078","20,534","2,634","10,150",19,847,0,0,0,0,0,0,2022-01-03 10:00
2021-12-01,경부선,261,화서,339,3,"7,158","1,651","20,534","4,129","40,512","5,232","31,367","9,774","12,695","5,529","9,498","5,055","8,548","5,542","8,557","6,099","8,432","7,503","7,404","7,490","8,041","8,622","10,380","10,841","10,633","18,883","9,443","33,041","4,721","27,430","3,747","15,521","3,493","12,726","2,652","11,213",762,"5,139",6,660,0,0,0,0,0,0,2022-01-03 10:00
2021-12-01,경부선,262,수원,"1,463",19,"17,308","5,992","31,361","28,758","68,443","46,049","60,386","67,535","37,384","56,264","34,446","54,203","41,456","56,088","45,714","67,060","48,442","65,767","50,815","65,968","61,023","63,682","77,859","74,187","83,594","86,743","90,511","111,005","69,346","83,569","77,063","46,924","63,247","40,518","40,680","30,197","11,459","14,297",154,"4,285",0,0,0,0,0,0,2022-01-03 10:00
2021-12-01,경부선,263,독산,600,4,"7,174","2,265","16,611","12,504","43,203","43,214","40,861","109,020","21,328","51,872","15,333","16,300","15,432","12,391","17,499","13,929","17,619","14,403","16,853","12,234","19,000","15,962","27,184","18,440","58,647","27,234","77,181","42,301","35,018","34,589","19,689","18,567","14,434","22,271","7,832","15,998","1,784","5,599",31,488,0,0,0,0,0,0,2022-01-03 10:00
2021-12-01,경부선,264,세류,417,0,"3,423",809,"6,956","2,281","14,062","3,919","9,274","4,124","4,378","2,547","3,573","2,255","3,397","2,496","3,380","2,957","3,585","2,956","3,130","3,003","3,448","3,546","4,175","4,591","5,664","5,918","5,262","10,678","3,133","8,697","2,493","5,376","2,123","5,006","1,133","3,798",322,"1,717",7,585,0,0,0,0,0,0,2022-01-03 10:00
2021-12-01,경부선,265,병점,"2,908",16,"6,597","2,987","24,259","9,224","50,136","21,595","37,291","25,733","22,382","14,037","19,416","10,998","19,778","12,949","20,830","14,589","18,864","15,436","18,224","16,815","20,512","19,806","24,803","23,820","30,362","34,527","30,880","45,432","16,728","40,192","12,085","28,518","12,220","25,185","7,395","21,180","1,770","10,724",11,"4,044",0,0,0,0,0,0,2022-01-03 10:00
2021-12-01,경부선,266,세마,232,2,"1,905",387,"4,831","1,403","9,476","3,495","8,068","9,503","4,826","2,423","3,564","1,853","3,294","2,177","3,603","2,152","3,998","2,810","3,351","2,869","3,686","2,667","4,261","4,536","5,906","6,309","7,685","7,529","2,569","7,273","1,822","4,394","1,697","4,452",952,"3,312",376,"1,534",25,114,0,0,0,0,0,0,2022-01-03 10:00
2021-12-01,경부선,267,오산대,162,1,"2,519",915,"5,806","2,419","11,412","3,771","9,006","8,574","5,137","3,119","4,191","3,248","3,933","2,865","4,509","3,226","5,077","3,991","4,396","3,855","5,118","3,432","6,722","5,268","6,508","7,246","8,062","11,302","3,632","8,130","2,806","4,901","2,781","5,183","1,501","3,191",769,"1,955",60,166,0,0,0,0,0,0,2022-01-03 10:00
2021-12-01,경부선,268,오산,314,3,"5,864","1,939","14,605","7,923","22,693","28,026","20,691","20,392","14,292","11,252","13,607","9,692","13,951","9,524","16,325","11,602","14,381","12,789","14,698","12,236","15,356","15,027","19,194","18,485","24,821","21,430","27,025","28,262","14,424","20,851","11,788","17,248","8,913","14,280","4,016","8,663","1,534","5,556",83,412,0,0,0,0,0,0,2022-01-03 10:00
2021-12-01,경부선,269,진위,4,1,756,244,"1,437","2,543","2,601","7,318","2,344","8,242","1,514","1,769","1,287","1,031","1,484",939,"1,757",979,"1,685","1,120","1,681",933,"2,150","1,218","3,073","1,530","6,303","1,823","9,420","2,131","2,816","2,095","1,868","1,426","1,210","1,379",564,"1,039",197,708,7,37,0,0,0,0,0,0,2022-01-03 10:00
2021-12-01,경부선,270,송탄,43,2,"5,416",609,"8,134","2,954","12,568","5,622","10,470","7,820","7,980","3,786","6,691","3,569","7,018","3,532","7,021","5,169","7,353","4,945","6,192","5,547","6,700","6,336","8,664","7,789","8,751","11,147","9,663","12,189","5,175","12,784","3,801","8,603","3,524","8,333","1,576","6,668",698,"4,989",57,417,0,0,0,0,0,0,2022-01-03 10:00
2021-12-01,경부선,271,서정리,32,0,"3,394","4,451","9,035","8,232","13,710","12,847","12,536","16,355","9,711","7,773","9,409","5,984","9,895","6,002","11,243","8,395","10,039","8,859","10,983","7,959","12,070","9,007","15,381","12,835","25,828","15,437","18,812","13,707","9,933","14,684","8,072","10,627","6,306","9,196","2,493","8,294","1,007","5,513",35,538,0,0,0,0,0,0,2022-01-03 10:00
2021-12-01,경부선,272,평택지제,7,0,"1,216","4,721","3,179","9,375","8,524","11,302","5,849","7,602","3,822","3,828","3,562","2,386","3,546","2,780","5,148","3,270","3,256","3,159","4,148","3,349","6,031","3,827","7,570","4,656","12,340","5,519","10,501","7,387","6,962","5,691","4,172","4,492","3,922","4,187","3,105","3,191","1,110","1,815",3,200,0,0,0,0,0,0,2022-01-03 10:00
2021-12-01,경부선,273,평택,90,2,"6,736","2,299","12,862","7,744","25,578","13,870","21,497","22,544","18,390","17,213","17,900","13,778","17,757","18,584","19,387","19,232","19,329","19,623","19,415","22,323","21,184","22,230","24,754","25,644","30,449","31,149","27,534","34,344","18,437","23,128","19,578","17,462","14,354","14,821","9,279","10,988","3,726","6,165",50,"1,406",0,0,0,0,0,0,2022-01-03 10:00
2021-12-01,경부선,274,성환,7,0,"1,539",456,"3,006","1,955","4,866","10,230","5,276","10,961","4,861","6,980","5,072","5,067","5,741","4,433","6,233","6,310","6,947","6,710","7,411","4,540","8,058","5,313","9,129","5,286","12,042","6,501","10,364","6,716","3,733","4,965","3,723","4,427","2,164","4,330","1,212","3,277",450,"2,024",75,561,0,0,0,0,0,0,2022-01-03 10:00
2021-12-01,경부선,275,직산,26,3,325,229,"1,203",818,"1,457","2,490","1,459","2,846","1,058",851,963,753,"1,014",720,"1,020",853,"1,095",865,950,900,"1,203",965,"1,209","1,039","2,860","1,368","3,059","1,376","1,046","1,429",655,896,563,974,249,634,145,677,12,114,0,0,0,0,0,0,2022-01-03 10:00
2021-12-01,경부선,276,두정,901,1,"3,752",598,"8,020","2,124","12,907","5,951","10,446","9,416","7,741","8,475","7,136","7,157","7,596","7,303","8,199","8,734","8,241","8,290","8,224","7,767","9,723","6,768","10,517","10,087","11,279","11,200","13,183","17,009","6,676","11,878","5,519","9,388","5,370","6,488","3,049","5,529","1,546","5,450",21,"1,231",0,0,0,0,0,0,2022-01-03 10:00
2021-12-01,경부선,277,천안,"1,102",2,"2,085",616,"4,449","2,479","8,027","4,702","7,033","9,574","8,967","8,869","7,384","8,658","9,624","10,287","9,788","11,097","9,952","11,033","11,451","10,325","12,241","10,657","12,648","10,709","12,118","13,684","11,183","14,360","7,538","9,290","6,624","6,857","4,877","4,912","2,606","3,450","1,267","2,965",4,925,0,0,0,0,0,0,2022-01-03 10:00
2021-12-01,경부선,278,당정,13,0,"3,252",873,"10,036","2,520","24,206","8,888","21,808","15,544","10,515","5,345","7,521","3,945","7,548","4,337","7,802","4,696","7,510","5,486","6,558","5,761","7,380","6,238","7,662","8,541","11,086","11,536","13,343","19,924","5,242","16,424","4,158","11,486","3,575","10,038","2,565","8,753",722,"4,459",14,140,0,0,0,0,0,0,2022-01-03 10:00
2021-12-01,경부선,279,서동탄,0,0,994,7,"4,106",813,"10,165","1,627","3,516","1,559","2,131",712,"1,620",587,"1,648","1,077","1,349",997,"1,298","1,033","1,312","1,279","1,657","1,761","1,636","1,841","1,714","2,697","2,176","4,211",942,"5,529",758,"2,199",560,"1,915",435,"2,453",28,"1,175",7,770,0,0,0,0,0,0,2022-01-03 10:00
2021-12-01,경부선,280,광명,0,18,5,"1,184","2,625","3,189","11,203","5,018","9,781","5,531","5,042","4,844","3,158","3,145","5,490","2,192","4,090","6,438","4,078",109,"3,313","6,736","7,623","3,534","2,998","4,522","7,779","5,729","8,684","11,855","7,394","6,681","5,261","3,400","3,244","5,525","1,805","2,070",590,14,1,0,0,0,0,0,0,0,2022-01-03 10:00
2021-12-01,경인선,294,개봉,"1,151",4,"16,987","5,249","34,366","12,673","86,677","14,449","81,445","23,354","47,222","17,472","31,762","15,340","28,872","17,781","29,366","21,747","28,241","22,385","25,802","25,170","24,971","31,032","29,022","41,640","31,394","56,406","28,509","85,425","15,393","65,632","12,297","37,063","11,127","40,733","7,251","26,748","2,152","12,312",18,804,0,0,0,0,0,0,2022-01-03 10:00
2021-12-01,경인선,295,오류동,526,3,"11,631","1,946","17,681","5,043","48,270","5,915","48,832","10,697","26,695","10,272","18,327","9,763","16,949","9,692","19,101","11,343","16,894","12,706","14,745","13,883","14,487","16,436","15,962","21,878","15,635","27,960","14,062","42,444","7,697","37,351","6,283","20,364","5,924","21,728","3,705","15,705","1,203","7,761",12,465,0,0,0,0,0,0,2022-01-03 10:00
2021-12-01,경인선,296,역곡,864,10,"26,473","3,414","43,275","9,954","114,134","12,651","113,442","28,660","58,161","25,003","37,645","19,611","34,011","22,481","35,009","27,153","34,411","27,793","30,700","30,425","30,656","34,096","34,576","49,882","36,774","67,991","33,043","106,321","19,192","90,896","16,325","50,771","15,228","52,684","10,219","38,208","3,405","19,088",12,415,0,0,0,0,0,0,2022-01-03 10:00
2021-12-01,경인선,297,부천,"2,396",30,"34,938","4,456","42,036","12,533","103,941","17,314","101,467","42,769","57,529","38,174","40,435","33,891","41,195","36,022","44,527","45,336","45,328","48,040","45,261","49,707","47,795","52,552","51,830","61,798","54,854","83,690","54,415","123,422","34,536","93,807","31,069","50,066","34,016","51,627","21,192","36,707","7,784","20,871",28,555,0,0,0,0,0,0,2022-01-03 10:00
2021-12-01,경인선,298,송내,"1,490",9,"14,667","7,902","35,813","14,379","102,544","26,600","86,009","70,713","46,501","39,658","32,031","21,754","32,552","21,913","33,816","23,443","31,591","25,159","29,383","26,876","30,893","28,652","35,881","37,686","42,952","54,931","65,522","88,027","28,568","78,390","20,243","42,695","18,411","43,108","11,950","33,242","4,360","16,450",21,544,0,0,0,0,0,0,2022-01-03 10:00
2021-12-01,경인선,299,부평,"7,173",36,"19,326","5,137","34,377","11,834","79,121","17,946","76,224","33,556","42,172","37,038","34,006","31,879","35,630","36,768","38,801","44,963","40,567","53,172","40,897","53,965","46,296","55,788","52,288","68,128","59,621","83,232","53,241","115,534","39,858","91,542","39,440","47,430","48,715","44,373","26,938","33,837","10,592","18,060",155,"1,981",0,0,0,0,0,0,2022-01-03 10:00
2021-12-01,경인선,300,백운,77,0,"7,622","1,601","13,365","4,303","27,258","4,455","22,750","8,330","13,557","5,607","10,710","5,410","10,143","6,191","10,181","7,363","9,671","8,142","8,827","8,170","8,721","10,511","10,349","13,406","11,116","16,594","8,658","23,462","4,426","20,709","3,735","12,334","3,479","12,212","1,965","9,623",869,"5,863",10,584,0,0,0,0,0,0,2022-01-03 10:00
2021-12-01,경인선,301,동암,480,13,"17,789","3,683","27,640","9,654","51,352","13,580","49,094","16,717","27,748","12,940","21,516","12,238","20,369","14,842","20,719","15,602","20,278","17,865","18,403","16,860","18,478","22,472","21,442","28,445","24,375","37,859","21,694","50,453","12,798","44,015","10,506","28,810","10,585","28,405","6,069","21,836","2,347","11,496",76,"1,434",0,0,0,0,0,0,2022-01-03 10:00
2021-12-01,경인선,302,주안,868,19,"12,772","3,950","26,028","8,661","60,474","16,354","52,470","28,521","33,073","20,562","24,382","15,119","25,726","15,299","28,288","19,958","27,001","18,943","25,595","21,484","27,927","23,310","31,333","29,676","37,037","37,018","35,062","53,105","19,473","54,296","17,090","29,795","17,656","28,329","10,998","22,976","3,943","14,559",150,"2,318",0,0,0,0,0,0,2022-01-03 10:00
2021-12-01,경인선,303,제물포,747,6,"7,159","1,403","14,200","4,446","37,341","11,913","32,552","29,028","17,291","13,794","13,920","9,656","14,255","8,118","16,239","10,231","15,281","11,337","14,388","11,049","16,261","12,256","20,398","15,284","20,413","20,290","22,310","29,220","8,691","28,133","6,029","16,631","5,070","17,240","3,282","13,387",988,"7,978",30,"1,762",0,0,0,0,0,0,2022-01-03 10:00
2021-12-01,경인선,304,동인천,"1,567",7,"6,467","2,688","14,689","11,107","38,084","21,861","29,606","32,607","18,268","15,332","16,216","16,380","18,629","18,736","20,029","18,308","20,286","20,438","20,545","19,588","23,808","19,278","28,550","21,246","38,427","25,246","37,155","31,311","15,339","30,219","12,197","17,665","10,469","15,508","5,306","13,531","1,342","6,904",10,"2,137",0,0,0,0,0,0,2022-01-03 10:00
2021-12-01,경인선,305,인천,250,25,"1,189","1,052","2,763","3,621","5,545","5,377","4,298","8,063","2,721","3,687","2,717","4,105","3,600","5,109","4,883","6,323","5,801","5,983","7,014","5,539","8,275","4,509","9,931","4,062","11,755","3,395","10,506","2,982","4,485","2,295","3,983","1,615","2,725","1,437","1,183","1,240",262,767,1,587,0,0,0,0,0,0,2022-01-03 10:00
2021-12-01,경인선,306,구일,284,7,"3,583","1,029","8,838","3,441","24,356","7,616","23,139","11,763","12,364","7,072","9,126","4,925","8,046","5,467","8,684","7,421","8,720","8,992","8,184","9,033","9,176","10,470","10,396","13,614","10,906","15,730","12,164","24,086","4,743","19,319","6,614","10,591","6,750","11,163","5,088","7,169",699,"3,864",7,210,0,0,0,0,0,0,2022-01-03 10:00
2021-12-01,경인선,307,소사,992,7,"15,564","2,289","14,747","4,931","32,098","6,422","28,951","9,296","17,607","8,227","14,007","7,272","12,539","7,969","12,552","9,609","11,898","9,732","11,583","10,165","11,424","10,780","12,859","14,513","13,039","18,393","10,331","26,896","5,915","20,828","4,325","12,750","3,877","14,244","2,469","10,349",759,"6,577",3,192,0,0,0,0,0,0,2022-01-03 10:00
2021-12-01,경인선,308,부개,"1,803",4,"8,863","2,272","15,583","4,672","38,463","5,942","30,910","10,428","16,600","6,238","12,348","5,548","11,468","6,883","11,455","8,311","11,785","8,903","10,001","9,555","10,167","11,991","12,316","15,363","11,469","20,109","10,667","28,984","5,460","24,279","3,947","14,224","3,711","15,002","2,463","10,800","1,003","6,396",10,335,0,0,0,0,0,0,2022-01-03 10:00
2021-12-01,경인선,309,간석,249,1,"4,574","1,083","10,538","2,688","22,334","4,234","19,007","9,162","10,859","4,952","8,136","4,626","8,011","5,694","8,789","6,066","8,180","7,018","7,670","6,957","8,208","8,726","9,562","10,254","8,698","12,846","9,175","18,604","4,499","17,005","3,605","9,846","3,540","8,733","1,972","7,366",826,"4,611",51,677,0,0,0,0,0,0,2022-01-03 10:00
2021-12-01,경인선,310,도원,464,8,"2,114",550,"2,650","2,260","5,502","4,916","5,525","18,429","3,737","3,658","3,531","3,728","3,968","3,322","5,351","3,191","5,736","3,402","5,014","3,833","7,097","4,173","7,814","4,450","8,040","5,125","6,707","4,708","2,255","4,360","1,642","2,970","1,218","2,654",644,"1,861",193,"1,636",4,531,0,0,0,0,0,0,2022-01-03 10:00
2021-12-01,경인선,311,온수(성공회대입구),176,1,"5,387","1,275","8,267","3,238","21,676","8,703","21,122","12,515","12,800","6,410","10,070","5,522","10,310","5,707","11,070","7,253","10,332","7,055","9,326","7,791","10,028","8,793","12,525","11,182","11,243","14,412","9,928","20,727","5,299","17,887","3,555","9,964","3,395","10,674","2,720","7,900",961,"3,846",4,275,0,0,0,0,0,0,2022-01-03 10:00
2021-12-01,경인선,312,중동,742,6,"9,824","1,101","16,574","3,299","43,269","5,348","33,452","13,847","17,607","7,962","12,956","7,665","12,131","8,776","12,844","9,515","12,426","9,875","11,071","10,639","11,219","12,146","11,945","16,139","11,989","20,749","12,900","31,794","6,194","27,578","4,722","15,586","4,620","15,165","2,782","11,777",876,"7,041",5,234,0,0,0,0,0,0,2022-01-03 10:00
2021-12-01,경인선,313,도화,383,1,"4,171",581,"6,593","1,384","16,637","3,645","13,863","7,021","7,743","3,637","6,205","3,838","6,279","3,922","6,206","4,909","6,000","4,894","5,720","5,699","5,604","6,336","6,031","8,207","6,405","9,096","6,249","11,564","2,935","11,056","2,309","6,119","2,343","5,678","1,366","4,138",508,"3,273",12,867,0,0,0,0,0,0,2022-01-03 10:00
2021-12-01,경원선,128,이촌(국립중앙박물관),94,0,799,699,"3,073","2,075","6,826","4,209","8,080","7,780","6,640","4,759","5,099","3,210","5,025","3,137","5,258","3,331","5,685","3,760","5,487","3,820","6,131","4,084","7,677","4,625","9,843","5,673","9,134","7,169","4,490","5,281","3,401","3,704","3,308","4,100","1,484","2,985",396,"1,457",2,66,0,0,0,0,0,0,2022-01-03 10:00
2021-12-01,경원선,129,서빙고,28,0,800,658,"1,989","2,537","2,983","4,059","2,729","8,656","2,763","3,393","2,399","2,469","2,343","2,155","2,752","2,178","3,002","2,776","2,982","2,869","3,847","3,173","5,274","2,853","7,208","2,697","6,404","3,476","2,603","2,422","1,644","1,545","1,412","1,811",851,"1,188",233,688,1,21,0,0,0,0,0,0,2022-01-03 10:00
2021-12-01,경원선,130,한남,115,0,"1,600",603,"2,519","4,117","4,219","10,219","5,080","13,846","4,651","11,199","4,318","5,546","4,508","4,269","4,933","4,853","4,863","5,089","5,479","4,484","6,958","4,888","8,837","5,775","14,048","7,228","14,231","7,203","6,482","5,741","4,966","2,549","6,032","3,292","3,367","2,105","1,140","1,135",3,47,0,0,0,0,0,0,2022-01-03 10:00
2021-12-01,경원선,131,옥수,0,0,0,16,0,95,45,49,143,168,53,37,47,138,28,142,15,76,23,23,26,13,25,21,315,43,299,82,46,22,291,9,45,21,74,19,14,6,10,0,0,0,0,0,0,0,0,0,2022-01-03 10:00
2021-12-01,경원선,132,응봉,189,0,"1,098",272,"2,715","1,352","6,434","1,715","7,013","2,293","4,340","1,372","2,893","1,412","2,425","1,356","2,458","1,664","2,565","1,792","2,317","2,128","2,709","2,363","2,940","3,261","2,843","3,865","2,588","4,857","1,285","4,389",961,"2,447",796,"2,341",593,"2,100",141,946,2,37,0,0,0,0,0,0,2022-01-03 10:00
2021-12-01,경원선,133,왕십리(성동구청),843,3,"4,767","1,085","7,641","5,315","23,055","11,829","39,345","20,436","26,228","15,074","15,324","16,812","16,200","17,921","18,402","21,638","19,710","22,873","20,779","23,552","22,755","26,765","26,573","31,585","29,905","42,409","28,920","62,219","20,915","43,008","22,350","25,107","27,479","24,301","17,730","17,196","6,197","8,809",73,"3,233",0,0,0,0,0,0,2022-01-03 10:00
2021-12-01,경원선,134,청량리(서울시립대입구),"1,513",29,"5,483","1,416","8,092","9,279","25,325","13,066","38,489","21,571","20,615","27,123","27,070","28,152","21,064","29,762","26,224","28,896","32,432","30,387","27,692","32,543","33,614","34,581","34,042","32,095","31,409","31,618","34,510","47,209","20,597","31,269","23,963","16,973","15,257","19,357","8,261","10,378","2,963","5,235",23,614,0,0,0,0,0,0,2022-01-03 10:00
2021-12-01,경원선,136,외대앞,429,16,"4,233","1,506","7,287","3,147","17,451","3,386","22,012","11,747","12,731","8,433","10,549","8,698","10,911","8,301","11,985","9,636","12,023","9,576","12,174","10,812","12,992","11,881","14,004","13,502","15,889","16,925","12,228","22,970","7,778","17,518","6,364","11,587","6,206","13,170","4,459","10,725","1,733","6,131",96,"1,157",0,0,0,0,0,0,2022-01-03 10:00
2021-12-01,경원선,137,신이문,"1,417",8,"8,197",990,"13,297","2,243","34,544","4,368","38,026","7,812","20,266","5,122","14,220","5,537","11,984","6,825","12,061","8,048","12,057","8,678","10,380","9,913","10,013","13,888","9,287","15,843","9,185","20,770","7,927","30,502","5,209","23,675","3,413","14,522","2,770","14,328","1,802","10,702",586,"5,614",35,913,0,0,0,0,0,0,2022-01-03 10:00
2021-12-01,경원선,138,석계,"1,132",44,"5,471","1,868","10,414","3,671","23,357","5,239","26,670","7,631","17,975","6,372","13,952","6,471","12,908","8,481","13,002","9,463","12,485","10,811","11,661","11,854","11,257","15,873","10,931","20,510","11,978","24,336","9,962","37,122","7,302","25,456","5,960","15,852","6,120","16,613","3,830","10,976","1,422","5,883",73,"1,384",0,0,0,0,0,0,2022-01-03 10:00
2021-12-01,경원선,139,광운대,"1,853",10,"5,193","1,183","12,280","2,242","29,000","5,561","27,994","11,093","15,634","9,387","10,662","8,036","10,258","9,430","11,156","9,292","11,437","10,021","10,974","10,997","10,653","11,477","12,377","13,840","11,673","16,582","10,108","25,134","6,201","20,040","5,133","12,406","5,179","12,508","4,114","8,965","1,309","6,808",80,"2,801",1,0,0,0,0,0,2022-01-03 10:00
2021-12-01,경원선,140,월계,801,7,"4,853","1,095","8,870","2,156","23,452","7,649","22,564","10,539","13,408","7,416","11,073","5,923","9,918","6,216","11,104","7,620","10,618","9,447","10,610","7,724","10,239","9,806","11,830","12,675","10,126","13,971","8,723","21,687","4,543","17,186","3,464","8,916","3,396","9,585","2,030","6,925",718,"3,888",55,827,0,0,0,0,0,0,2022-01-03 10:00
2021-12-01,경원선,141,녹천,"1,252",39,"4,003",751,"7,477","1,212","19,571","3,689","17,571","4,917","9,881","2,699","7,642","3,387","6,672","3,433","7,857","4,156","6,303","4,312","5,098","4,713","5,434","5,804","6,447","7,485","5,572","8,760","4,531","14,215","3,196","11,853","1,758","6,795","1,636","7,140",974,"5,247",459,"3,115",41,694,0,0,0,0,0,0,2022-01-03 10:00
2021-12-01,경원선,142,창동,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-01-03 10:00
2021-12-01,경원선,359,방학,632,13,"10,592","1,611","14,036","4,915","31,211","8,355","28,056","20,000","18,200","9,973","14,855","9,669","14,009","9,290","15,181","11,621","14,235","11,213","13,506","13,611","13,609","16,219","14,278","19,443","15,298","22,281","17,735","26,894","8,369","24,916","5,709","13,381","5,618","12,662","3,299","10,747","1,164","5,507",106,"1,653",0,0,0,0,0,0,2022-01-03 10:00
2021-12-01,경원선,360,도봉,240,1,"6,554","1,322","9,229","3,123","19,095","3,609","18,036","10,163","11,773","6,671","9,926","7,000","9,141","6,356","9,128","7,545","9,543","7,648","9,200","8,860","9,211","10,191","9,176","11,459","9,623","13,252","9,524","15,772","4,075","15,070","2,879","8,559","2,514","7,946","1,496","7,139",519,"3,279",60,996,0,0,0,0,0,0,2022-01-03 10:00
2021-12-01,경원선,361,도봉산,166,2,"5,763",916,"8,867","1,969","20,340","3,326","19,626","5,722","12,653","9,141","10,440","12,642","10,540","11,813","12,672","12,990","15,326","10,653","18,369","9,069","19,313","8,896","18,016","8,509","13,894","8,125","10,148","9,217","5,637","8,014","3,447","4,910","2,756","4,790","1,625","4,223",552,"2,459",44,800,0,0,0,0,0,0,2022-01-03 10:00
